"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"74","4_210_5",0,0.196846535434328,0.0523832913091226,0.0523832913091226,0.685805311170162,0.998269075746797,0.973001653663023,0.0717406559685378,0.929647589253355,0.555567922426353,0.482504533459889,0.762058549133279,0.00399471876726878,0.451523540748177,0.880959449132443,0.766576041900902,0.431765791812719,0.480315360411076,0.0242400542434381,0.333078939668899,0.674029700069313,0.720814022098873,4,25,FALSE
"75","4_211_1",0,0.211003063816761,0.0509958428804553,0.0509958428804553,0.857040579902834,0.960337016963461,0.958085319674982,0.00891884452072672,0.764233198627615,0.111744063776054,0.406782287683436,0.365333519579438,0.0120059046239168,0.836629316975769,0.797143753356913,1,0.36619897231338,0.563407978516613,0.0444233162624028,0.183363223758364,0.201047753389617,0.270147402201927,3,47,FALSE
"76","4_211_5",0,0.190234910277852,0.0523360100750342,0.0523360100750342,0.468581534903096,0.992264061940957,0.944621155794307,0.157280790326633,0.866483371292348,0.342705788694382,0.697230039403671,0.517924781034168,0.0187854495828606,0.749939996395515,0.832860067961339,0.895966837388377,0.366362921759471,0.525118739417184,0.00395166096498302,0.222924467072828,0.595916469803535,0.546626151480588,4,25,FALSE
"77","4_211_6",0,0.216732955519186,0.0504757651735594,0.0504757651735594,0.668930031063668,0.948380420612109,0.952917786184204,0.00675178851345715,0.837909194500216,0.0765695580664518,0.525800313726496,0.395911723852724,0.00639572145847486,0.968812511814071,0.723893887477408,0.921428443563776,0.309340988354507,0.638215222070973,0,0.0886141703236503,0.32536355228797,0.14983711128868,3,47,FALSE
"78","4_212_1",0,0.200681591164652,0.0519395219602162,0.0519395219602162,0.303106324919302,0.996353642662033,0.931299874248067,0,0.737480220200583,0.362841945476187,0.540843108532031,0.510258050020114,0.0190017756928052,0.984717990550551,0.78748335553382,0.994240633125371,0.283529000819453,0.532291059691671,0.0047245382255423,0.0448440174413175,0.397372941800111,0.391854658895873,3,47,FALSE
"79","4_212_3",0,0.210267974401801,0.0511442979861135,0.0511442979861135,0.859203387007818,0.956889667885263,0.958657934442987,0.0231818497670999,0.771190096217961,0.110921830664479,0.406688917149872,0.368294283732322,0.0121739845949381,0.814777781536077,0.792963822475893,0.981869023475809,0.371125928312354,0.555368059188196,0.0478930177695308,0.154628293500851,0.225399054398856,0.299866774708505,3,47,FALSE
"80","4_212_5",0,0.212397903672997,0.0507386477532766,0.0507386477532766,0.706342271016953,0.949769522193298,0.993399091064798,0.0630119199671365,0.990878311686877,0.0453900644124453,0.227827430937504,0.721721138805737,0.0135707385517436,0.985339122130885,0.850349832011902,0.993959163376571,0.188511054918658,0.522837015043961,0.00626396292458418,0.0414161088911055,0.25758311110056,0.198029330218417,3,47,FALSE
"81","4_213_5",0,0.17591651655793,0.0561552481720289,0.0561552481720289,0.402957991471798,0.940582713078389,0.941674642548513,0.35027986055995,0.697938137353913,0.467397624395395,0.793131174245507,0.338174484078402,0.0194288485238275,0.869239942634203,0.844463277208598,0.742939541976292,0.609907995592035,0.53910680859321,0.0737018679643153,0.145277319145694,0.742348776897095,0.608461684559104,4,25,FALSE
"82","4_213_7",0,0.327463732621538,0.0492255664259765,0.0492255664259765,0.930170293045151,0.88399871882523,0.667548468220205,0.178099750989318,0.987125964961001,0.339756409378087,0.454769861880644,0.855342858931343,0.00290670177237989,0.905595470971841,0.926733170940755,0.720009246019285,0.0418038393150651,0.248458532051797,0.776120580116708,0.197610268110385,0.542043561482637,0.00100805439996501,3,47,FALSE
"83","4_213_8",0,0.189650442699462,0.0526427992946317,0.0526427992946317,0.685805311170162,0.998269075746797,0.973001653663023,0.0717406559685378,0.929647589253355,0.555567922426353,0.482504533459889,0.762058549133279,0.00399471876726878,0.963127923887944,0.880959449132443,0.766576041900902,0.431765791812719,0.480315360411076,0.0242400542434381,0.0403540193341944,0.674029700069313,0.720814022098873,4,25,FALSE
